names	T0	T1	T2	T3
gene1	1	1	1	1
gene2	1	1	1	1
gene3	1	1	1	1
gene4	1	1	1	1
gene5	1	1	1	1
gene6	1	1	1	1
gene7	1	1	1	1
gene8	1	1	1	1
gene9	1	1	1	1
gene10	1	1	1	1
gene11	1	1	1	1
gene12	1	1	1	1
gene13	1	1	1	1
gene14	1	1	1	1
gene15	1	1	1	1
gene16	1	1	1	1
gene17	1	1	1	1
gene18	1	1	1	1
gene19	1	1	1	1
gene20	1	1	1	1
gene21	0.05	0.2	0.05	0.05
gene22	0.05	0.2	0.05	0.05
gene23	0.05	0.2	0.05	0.05
gene24	0.05	0.2	0.05	0.05
gene25	0.05	0.2	0.05	0.05
gene26	0.05	0.2	0.05	0.05
gene27	0.05	0.2	0.05	0.05
gene28	0.05	0.2	0.05	0.05
gene29	0.05	0.2	0.05	0.05
gene30	0.05	0.2	0.05	0.05
gene31	0.05	0.3	0.9	0.95
gene32	0.05	0.3	0.9	0.95
gene33	0.05	0.3	0.9	0.95
gene34	0.05	0.3	0.9	0.95
gene35	0.05	0.3	0.9	0.95
gene36	0	0.05	0.65	0.85
gene37	0	0.05	0.65	0.85
gene38	0	0.05	0.65	0.85
gene39	0	0.05	0.65	0.85
gene40	0	0.05	0.65	0.85
gene41	0	0.05	0.65	0.85
gene42	0	0.05	0.65	0.85
gene43	0	0.05	0.65	0.85
gene44	0	0.05	0.65	0.85
gene45	0	0.05	0.65	0.85
gene46	0	0.05	0.65	0.85
gene47	0	0.05	0.65	0.85
gene48	0	0.05	0.65	0.85
gene49	0	0.05	0.65	0.85
gene50	0	0.05	0.65	0.85
gene51	0	0.05	0.65	0.85
gene52	0	0.05	0.65	0.85
gene53	0	0.05	0.65	0.85
gene54	0	0.05	0.65	0.85
gene55	0	0.05	0.65	0.85
gene56	0	0.05	0.65	0.85
gene57	0	0.05	0.65	0.85
gene58	0	0.05	0.65	0.85
gene59	0	0.05	0.65	0.85
gene60	0	0.05	0.65	0.85
gene61	0	0	0.1	0.25
gene62	0	0	0.1	0.25
gene63	0	0	0.1	0.25
gene64	0	0	0.1	0.25
gene65	0	0	0.1	0.25
gene66	0	0	0.1	0.25
gene67	0	0	0.1	0.25
gene68	0	0	0.1	0.25
gene69	0	0	0.1	0.25
gene70	0	0	0.1	0.25
gene71	0	0	0.1	0.25
gene72	0	0	0.1	0.25
gene73	0	0	0.1	0.25
gene74	0	0	0.1	0.25
gene75	0	0	0.1	0.25
gene76	0	0	0.1	0.25
gene77	0	0	0.1	0.25
gene78	0	0	0.1	0.25
gene79	0	0	0.1	0.25
gene80	0	0	0.1	0.25
gene81	0	0	0.25	0.5
gene82	0	0	0.25	0.5
gene83	0	0	0.25	0.5
gene84	0	0	0.25	0.5
gene85	0	0	0.25	0.5
gene86	0	0	0.25	0.5
gene87	0	0	0.25	0.5
gene88	0	0	0.25	0.5
gene89	0	0	0.25	0.5
gene90	0	0	0.25	0.5
